t,x,y,z,roll,pitch,yaw,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,ax,ay,az,wx_dot,wy_dot,wz_dot,m1,m2,m3,m4
0.0,0.0,2.0,1.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,0.0,2.4241119682098033e-13,-0.00015719612428553395,0.0,0.0,-0.0,0.0,2.726826914828179e-10,-0.01571767313857104,2.5308197616448255e-15,0.12266047044596133,0.12258952955280789,0.12258952955403835,0.12266047044719242
0.01,-1.5420939792425172e-09,2.0,1.25,2.424111968181354e-15,-1.5719612428555013e-06,1.7621956121415814e-20,0.9999999999996911,1.2120559840972277e-15,-7.859806214276698e-07,9.763630576285901e-21,-1.542093979242517e-07,-1.1890269204080104e-16,0.0,2.9692381116491596e-12,-0.00031437285567124435,2.5308197616448254e-17,-1.542093979242517e-05,-2.378053840816021e-14,0.0,1.1208617285779213e-09,-0.023573601010963986,1.099934405428917e-14,0.12267819910336134,0.1225718008918828,0.12257180089694046,0.12267819910842155
0.02,-9.25218338684057e-09,2.0,1.25,5.938476223178875e-14,-6.287457113429417e-06,3.585289017731855e-19,0.9999999999950585,2.969238111631121e-14,-3.14372855670953e-06,2.7260923731644684e-19,-7.710089407598053e-07,-3.566758056401708e-15,0.0,2.2659645768379407e-11,-0.0006286681445048137,2.199868810857834e-16,-6.167995428355536e-05,-5.825645175274769e-13,0.0,4.851937085323097e-09,-0.031421773151858276,5.4446751264229164e-14,0.12269591025383057,0.12255408972911815,0.12255408975101087,0.12269591027573575
0.03,-3.083883576981396e-08,1.9999999999999998,1.25,4.556170273183406e-13,-1.4145324132976362e-05,2.2482220438594755e-18,0.9999999999749888,2.2780851366142294e-13,-7.072662066429216e-06,2.7353236548684573e-18,-2.1586652382973387e-06,-3.328536138292898e-14,0.0,1.000079798181111e-10,-0.0009428083187084099,1.1142432229010316e-15,-0.00013876562975375333,-4.469603038752058e-12,0.0,1.4835918809807126e-08,-0.03140238620356324,1.91980855820946e-13,0.12269586649014867,0.12255413346742625,0.12255413353436531,0.12269586655713191
0.04,-7.709138279939282e-08,1.9999999999999984,1.25,2.0595443585128186e-12,-2.5143623487673264e-05,6.78873664891395e-18,0.9999999999209748,1.0297721792177047e-12,-1.2571811743505467e-05,1.6340470300499678e-17,-4.625254702957883e-06,-1.7828364042520918e-13,0.0,3.1937802196452196e-10,-0.0012567158685760785,4.059603997504703e-15,-0.0002466589464660541,-2.02041301650718e-11,0.0,3.627595469877618e-08,-0.03137525114059744,5.369709021932665e-13,0.12269580523189678,0.12255419468189739,0.122554194845565,0.12269580539568839
0.05,-1.618772581648718e-07,1.9999999999999933,1.25,6.843177466666682e-12,-3.927964150467106e-05,6.684535011468023e-18,0.9999999998071387,3.42158873273909e-12,-1.9639820751072943e-05,7.054165691164695e-17,-8.478587536547889e-06,-6.862452517636159e-13,0.0,8.255270737936347e-10,-0.0015703133415203587,1.1853661266766361e-14,-0.0003853332833589988,-6.713157100236424e-11,0.0,7.604923505638984e-08,-0.03134037462575566,1.2742868497732477e-12,0.12269572649127347,0.12255427335467924,0.12255427369777643,0.12269572683466472
0.06,-3.0213857599184985e-07,1.9999999999999771,1.25,1.8570085837111017e-11,-5.654989031841276e-05,-3.8509246337654744e-17,0.9999999996002638,9.285042914299516e-12,-2.8274945155438873e-05,2.4327945612692244e-16,-1.402613178269774e-05,-2.118917741749185e-12,0.0,1.840362723092319e-09,-0.0018835233610911917,2.9545340992969656e-14,-0.000554754424614977,-1.8217254233197977e-10,0.0,1.4270295648262617e-07,-0.031297765222838746,2.67825574781992e-12,0.12269563028459327,0.12255436946346579,0.12255437010723899,0.12269563092898458
0.07,-5.178879506290782e-07,1.999999999999933,1.25,4.365043194697207e-11,-7.695010872706327e-05,-2.5651141201294125e-16,0.9999999992598351,2.182521595239713e-11,-3.8475054354039004e-05,7.114706649569753e-16,-2.157493746372257e-05,-5.58670007401909e-12,0.0,3.6795862034461582e-09,-0.0021962686459771337,6.541877622316477e-14,-0.0007548805681024536,-4.282107384739468e-10,0.0,2.4644174335094036e-07,-0.031247433394662964,5.130344969350428e-12,0.12269551663228924,0.12255448298151073,0.12255448409322059,0.12269551774518309
0.08,-8.3220355883532e-07,1.9999999999998268,1.25,9.21618099878582e-11,-0.00010047526323885166,-9.622917892913451e-16,0.9999999987380902,4.6080904911607515e-11,-5.0237631598294045e-05,1.833849634762488e-15,-3.143156082062328e-05,-1.3078728387336887e-11,0.0,6.769197590111126e-09,-0.002508472028984451,1.3215224037997822e-13,-0.0009856623356899801,-9.041073595960019e-10,0.0,3.9911260130481814e-07,-0.031189391500622436,9.136458980489239e-12,0.12269538555891604,0.1225546138776437,0.12255461567796322,0.12269538736134411
0.09,-1.271223445584549e-06,1.999999999999596,1.25,1.7903438403471558e-10,-0.0001271195493080829,-2.8238830943672912e-15,0.9999999979800775,8.951719174679731e-11,-6.355977461124618e-05,4.277751004123274e-15,-4.3901988674920184e-05,-2.7904618655678573e-11,0.0,1.1661838229542521e-08,-0.0028200564759895824,2.4814795583294955e-13,-0.0012470427854294394,-1.7563273180496367e-09,0.0,6.141874195935377e-07,-0.031123653793800478,1.5343786163609646e-11,0.12269523709315326,0.12255476211628806,0.12255476488662043,0.12269523986702631
