t,x,y,z,roll,pitch,yaw,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,ax,ay,az,wx_dot,wy_dot,wz_dot,m1,m2,m3,m4
0.0,2.0,0.0,1.6500000000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,-7.85980621428216e-05,-6.06027992052872e-14,0.0,-0.0,0.0,0.0,-0.007858836569443901,-6.81706728727943e-11,3.163524702276112e-16,0.12264273522344263,0.122642735223135,0.12260726477655734,0.12260726477686508
0.01,2.0,7.710469896212586e-10,1.6500000000000001,-7.859806214282362e-07,-6.060279920509068e-16,2.6790707729986166e-21,0.9999999999999228,-3.92990310714108e-07,-3.030139960259564e-16,1.2204538220504385e-21,-2.972567301020026e-17,7.710469896212586e-08,0.0,-0.00015718642783726062,-7.423095279332301e-13,3.1635247022761123e-18,-5.945134602040052e-15,7.710469896212585e-06,0.0,-0.011786800506385581,-2.8021543217256786e-10,1.3749180071185996e-15,0.12265159955354218,0.12265159955227756,0.1225984004465335,0.12259840044779831
0.02,2.0,4.626091693420285e-09,1.6500000000000001,-3.1437285567457785e-06,-1.4846190558516587e-14,9.148850594263853e-20,0.9999999999987647,-1.571864278372242e-06,-7.423095279321027e-15,3.407615466684302e-20,-8.91689514100427e-16,3.8550447037990266e-07,0.0,-0.00031433407227053324,-5.664911442656644e-12,2.7498360142371992e-17,-1.4564112938186923e-13,3.083997714177768e-05,0.0,-0.01571088658080791,-1.2129842716752418e-09,6.805843912469307e-15,0.12266045513453358,0.12266045512905961,0.12258954486667753,0.12258954487215304
0.03,2.0,1.541941788490698e-08,1.6500000000000001,-7.072662066841975e-06,-1.1390425684124575e-13,1.086634072180244e-18,0.9999999999937472,-3.536331033413616e-06,-5.695212842218812e-14,3.419154569339184e-19,-8.321340345732245e-15,1.0793326191486696e-06,0.0,-0.0004714041594534188,-2.500199496143807e-11,1.3928040295166226e-16,-1.1174007596880148e-12,6.938281487687666e-05,0.0,-0.01570119311909193,-3.7089797050122398e-09,2.399760701336556e-14,0.12266043326716089,0.12266043325042345,0.12258956673897028,0.12258956675571334
0.04,1.9999999999999996,3.854569139969641e-08,1.6500000000000001,-1.257181174582361e-05,-5.148860897415879e-13,7.321643072887616e-18,0.9999999999802437,-6.28590587287041e-06,-2.574430448887194e-13,2.0425587886885194e-18,-4.45709101063023e-14,2.3126273514789415e-06,0.0,-0.0006283579346523718,-7.984450554290144e-11,5.074505004096832e-16,-5.0510325412679515e-12,0.00012332947323302705,0.0,-0.015687625617194716,-9.068988688138584e-09,6.712136297728518e-14,0.12266040266777403,0.1226604026268493,0.12258959735159927,0.12258959739253934
0.05,1.9999999999999984,8.09386290824359e-08,1.6500000000000001,-1.9639820759911054e-05,-1.7107943673757962e-12,3.443526161603755e-17,0.9999999999517847,-9.819910379797703e-06,-8.553971838157304e-13,8.817707124242109e-18,-1.715613129409041e-13,4.239293768273945e-06,0.0,-0.0007851566717973132,-2.0638176872420976e-10,1.4817076624973658e-15,-1.678289275059109e-11,0.00019266664167949941,0.0,-0.015670187418644666,-1.9012308818890387e-08,1.5928585711669964e-13,0.12266036335096997,0.12266036326517726,0.12258963669631091,0.12258963678214033
0.06,1.9999999999999942,1.5106928799592495e-07,1.6500000000000001,-2.8274945181811416e-05,-4.642521462581033e-12,1.2645338410594922e-16,0.9999999999000659,-1.413747259043477e-05,-2.3212607319524088e-12,3.040993208278388e-17,-5.297294354372978e-13,7.01306589134887e-06,0.0,-0.0009417616830252652,-4.600906819207092e-10,3.693167642743676e-15,-4.5543135582995214e-11,0.00027737721230748847,0.0,-0.015648882820867106,-3.567573930506694e-08,3.3478197172832346e-13,0.12266031533534039,0.12266031517435853,0.12258968476265622,0.1225896849237155
0.07,1.9999999999999833,2.589439753145391e-07,1.6500000000000001,-3.847505442048741e-05,-1.0912607999196485e-11,3.87799260295918e-16,0.9999999998149588,-1.9237527209057124e-05,-5.456304002318751e-12,8.893383345892117e-17,-1.3966750185047842e-12,1.0787468731861287e-05,0.0,-0.0010981343282146553,-9.198965548255485e-10,8.177347097063835e-15,-1.0705268461848859e-10,0.0003774402840512268,0.0,-0.015623717074135133,-6.16104363726761e-08,6.4129313131875e-13,0.12266025864345642,0.12266025836545498,0.12258974153799504,0.1225897418161445
0.08,1.9999999999999567,4.1610177941766e-07,1.6500000000000001,-5.023763174621655e-05,-2.3040452536986814e-11,1.0372112967089002e-15,0.9999999996845226,-2.5118815870466803e-05,-1.1520226277885796e-11,2.292312057664409e-16,-3.2696820968342924e-12,1.571578041031164e-05,0.0,-0.0012542360245079679,-1.6922994093742311e-09,1.6519030269118676e-14,-2.2602683989901074e-10,0.0004928311678449901,0.0,-0.015594696380285569,-9.977815170512032e-08,1.1420574006356552e-12,0.12266019330185082,0.12266019285163923,0.12258980700750077,0.12258980745797601
0.09,1.999999999999899,6.356117227922744e-07,1.6500000000000001,-6.35597749108131e-05,-4.47585961221944e-11,2.4918609097092567e-15,0.9999999994950194,-3.1779887450057135e-05,-2.237929808939162e-11,5.347188806325065e-16,-6.9761546639199955e-12,2.195099433746009e-05,0.0,-0.0014100282558203666,-2.915459588927955e-09,3.101849510977694e-14,-4.3908182951245564e-10,0.0006235213927147197,0.0,-0.015561827891197408,-1.5354685812832558e-07,1.9179733407868507e-12,0.12266011934099794,0.12266011864819355,0.12258988115416676,0.12258988184741378
