t,x,y,z,roll,pitch,yaw,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,ax,ay,az,wx_dot,wy_dot,wz_dot,m1,m2,m3,m4
0.0,0.0,2.0,1.6500000000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.5514316596547915e-13,-0.0001257568994284691,0.0,0.0,-0.0,0.0,1.7451692255157145e-10,-0.012574138510978465,1.2957797180054206e-15,0.12265337635686786,0.12259662364234447,0.122596623643132,0.12265337635765569
0.01,-1.2336751833940135e-09,2.0,1.6500000000000001,1.5514316596431382e-15,-1.257568994284774e-06,9.02244153421693e-21,0.9999999999998024,7.757158298242524e-16,-6.287844971423456e-07,4.998978855087286e-21,-1.2336751833940136e-07,-7.609772290611265e-17,0.0,1.900312391481194e-12,-0.00025149828453825375,1.2957797180054206e-17,-1.2336751833940137e-05,-1.521954458122253e-14,0.0,7.173515063243837e-10,-0.018858880809465153,5.6316641564496815e-15,0.1226675592830713,0.12258244071388494,0.12258244071712202,0.12266755928630965
0.02,-7.401746709472458e-09,2.0,1.6500000000000001,3.800624782913464e-14,-5.029965690767396e-06,1.8356679771404143e-19,0.9999999999968374,1.9003123914738055e-14,-2.5149828453810462e-06,1.3957592951051756e-19,-6.168071526078444e-07,-2.282725156097094e-15,0.0,1.4502173292453154e-11,-0.0005029345156177721,1.1263328312899363e-16,-4.9343963426844296e-05,-3.7284129121758534e-13,0.0,3.1052397350300648e-09,-0.025137418525233577,2.7876736656015985e-14,0.12268172820443787,0.12256827178464927,0.12256827179866137,0.12268172821845642
0.03,-2.4671068615851174e-08,1.9999999999999998,1.6500000000000001,2.915948975015673e-13,-1.1316259306652805e-05,1.1510896865965706e-18,0.9999999999839928,1.4579744875170636e-13,-5.658129653296212e-06,1.4004857114408162e-18,-1.7269321906378713e-06,-2.1302631285074554e-14,0.0,6.400510709208249e-11,-0.0007542466550429253,5.704925303003739e-16,-0.00011101250380300268,-2.8605459448013185e-12,0.0,9.494988041422854e-09,-0.025121908976145222,9.829419825060567e-14,0.12268169319554616,0.12256830677730184,0.12256830682014563,0.1226816932384126
0.04,-6.167310623951425e-08,1.9999999999999991,1.6500000000000001,1.3181083896375282e-12,-2.0114898791664634e-05,3.4758331655373215e-18,0.9999999999494239,6.590541948029107e-13,-1.0057449395662761e-05,8.36632079606975e-18,-3.700203762366308e-06,-1.1410152987213388e-13,0.0,2.0440193412091024e-10,-0.0010053726951406766,2.078517248141107e-15,-0.00019732715717284352,-1.2930643305645954e-11,0.0,2.321661102373741e-08,-0.025100200948495556,2.749291023223088e-13,0.12268164419250413,0.12256835575232414,0.12256835585707941,0.12268164429732276
0.05,-1.2950180653189754e-07,1.9999999999999958,1.6500000000000001,4.379633579943488e-12,-3.142371320955498e-05,3.422481931686557e-18,0.9999999998765688,2.1898167897283388e-12,-1.5711856604131044e-05,3.611732835898664e-17,-6.782870029238319e-06,-4.3919696112871443e-13,0.0,5.283373275668307e-10,-0.0012562506740128364,6.0690745767465505e-15,-0.0003082666266872003,-4.296420544151315e-11,0.0,4.8671510503419073e-08,-0.025072299781839117,6.524348688435754e-13,0.12268158120554709,0.12256841869586269,0.12256841891546373,0.12268158142529864
0.06,-2.4171086079348025e-07,1.9999999999999853,1.6500000000000001,1.1884854942090508e-11,-4.523991227209151e-05,-1.9716734118373073e-17,0.9999999997441689,5.942427469301999e-12,-2.261995613411679e-05,1.2455908166854974e-16,-1.1220905426158239e-05,-1.3561073547194807e-12,0.0,1.1778321441892917e-09,-0.001506818690777459,1.5127214625012615e-14,-0.0004438035396919878,-1.165904270924674e-10,0.0,9.13298923754843e-08,-0.02503821233914515,1.3712669492748869e-12,0.1226815042482374,0.12256849559052034,0.12256849600257483,0.12268150466060834
0.07,-4.1431036050326425e-07,1.9999999999999571,1.6500000000000001,2.7936276471290133e-11,-6.156008702539516e-05,-1.3133384304540446e-16,0.9999999995262945,1.396813822700705e-11,-3.0780043507837354e-05,3.642729811250462e-16,-1.7259949970978267e-05,-3.575488047372232e-12,0.0,2.3549351750765165e-09,-0.0017570149207957395,3.349441356224429e-14,-0.0006039044544819876,-2.7405487262332833e-10,0.0,1.5772271640193727e-07,-0.024997947005166762,2.626736644261595e-12,0.12268141333746581,0.12256858641536619,0.12256858712693626,0.12268141404964213
0.08,-6.65762847068263e-07,1.9999999999998892,1.6500000000000001,5.898355847713595e-11,-8.038021068846517e-05,-4.926933969488198e-16,0.9999999991923777,2.9491779204849055e-11,-4.019010533341311e-05,9.389310157923578e-16,-2.5145248656499414e-05,-8.370386167895696e-12,0.0,4.332286472228037e-09,-0.002006777630880794,6.766194751024452e-14,-0.000788529868552068,-5.786287101414538e-10,0.0,2.554320665294955e-07,-0.024951513684446355,4.6778670532014774e-12,0.12268130849345209,0.1225686911459462,0.12256869229828571,0.122681309646871
0.09,-1.0169787564676638e-06,1.9999999999997415,1.6500000000000001,1.1458200603280025e-10,-0.00010169563964369234,-1.4458281485974357e-15,0.9999999987072496,5.7291002905578555e-11,-5.0847819799934985e-05,2.190208524171275e-15,-3.51215909399387e-05,-1.785895593963472e-11,0.0,7.463576505666428e-09,-0.0022560451944846666,1.2705175462627384e-13,-0.0009976342283438005,-1.1240494835518244e-09,0.0,3.930799525088161e-07,-0.02489892379895363,7.856018654033493e-12,0.12268118973974614,0.12256880975429625,0.12256881152753558,0.12268119151479832
