t,x,y,z,roll,pitch,yaw,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,ax,ay,az,wx_dot,wy_dot,wz_dot,m1,m2,m3,m4
0.0,2.0,0.0,1.6500000000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0001257568994284691,-1.5514316596547915e-13,0.0,-0.0,0.0,0.0,-0.012574138510978465,-1.745169225515715e-10,1.295779718005421e-15,0.12265337635765554,0.12265337635686804,0.12259662364234429,0.12259662364313217
0.01,2.0,1.2336751833940135e-09,1.6500000000000001,-1.257568994284774e-06,-1.5514316596419115e-15,1.0973473886135397e-20,0.9999999999998024,-6.287844971423456e-07,-7.757158298242524e-16,4.998978855087286e-21,-7.609772290611265e-17,1.2336751833940136e-07,0.0,-0.00025149828453825375,-1.9003123914811942e-12,1.295779718005421e-17,-1.521954458122253e-14,1.2336751833940137e-05,0.0,-0.018858880809465132,-7.173515063243837e-10,5.63166415644969e-15,0.12266755928630901,0.12266755928307191,0.12258244071388429,0.12258244071712265
0.02,2.0,7.401746709472458e-09,1.6500000000000001,-5.029965690767396e-06,-3.800624782865385e-14,3.747369203285854e-19,0.9999999999968374,-2.5149828453810462e-06,-1.9003123914738055e-14,1.395759295105176e-19,-2.282725156097094e-15,6.168071526078444e-07,0.0,-0.0005029345156177717,-1.4502173292453154e-11,1.126332831289938e-16,-3.7284129121758534e-13,4.9343963426844296e-05,0.0,-0.025137418525233338,-3.1052397350300648e-09,2.787673665601628e-14,0.12268172821845322,0.12268172820444105,0.12256827178464606,0.12256827179866456
0.03,1.9999999999999998,2.467106861585117e-08,1.6500000000000001,-1.1316259306652795e-05,-2.9159489748289684e-13,4.4508531591507276e-18,0.9999999999839928,-5.6581296532962065e-06,-1.4579744875170636e-13,1.400485711440818e-18,-2.1302631285074554e-14,1.7269321906378709e-06,0.0,-0.0007542466550429206,-6.400510709208249e-11,5.704925303003798e-16,-2.8605459448013185e-12,0.00011101250380300259,0.0,-0.02512190897614363,-9.494988041422854e-09,9.829419825060992e-14,0.12268169323840125,0.12268169319555744,0.12256830677729051,0.12256830682015696
0.04,1.9999999999999991,6.167310623951422e-08,1.6500000000000001,-2.011489879166454e-05,-1.3181083893708689e-12,2.9989450017752374e-17,0.9999999999494239,-1.0057449395662714e-05,-6.590541948029107e-13,8.366320796069811e-18,-1.1410152987213388e-13,3.700203762366303e-06,0.0,-0.0010053726951406443,-2.0440193412091024e-10,2.0785172481411923e-15,-1.2930643305645954e-11,0.0001973271571728426,0.0,-0.0251002009484877,-2.321661102373741e-08,2.749291023223497e-13,0.12268164429729105,0.12268164419253577,0.12256835575229245,0.12256835585711112
0.05,1.9999999999999958,1.2950180653189728e-07,1.6500000000000001,-3.142371320955432e-05,-4.379633577781154e-12,1.4104683148811828e-16,0.9999999998765688,-1.5711856604130716e-05,-2.1898167897283388e-12,3.611732835898761e-17,-4.3919696112871443e-13,6.782870029238276e-06,0.0,-0.0012562506740126747,-5.283373275668307e-10,6.069074576747374e-15,-4.296420544151315e-11,0.00030826662668719386,0.0,-0.025072299781808898,-4.8671510503419073e-08,6.524348688438682e-13,0.12268158142522327,0.12268158120562227,0.12256841869578745,0.12256841891553907
0.06,1.9999999999999853,2.417108607934785e-07,1.6500000000000001,-4.5239912272088185e-05,-1.1884854929928441e-11,5.179530606449315e-16,0.9999999997441689,-2.2619956134115128e-05,-5.942427469301999e-12,1.2455908166855982e-16,-1.3561073547194807e-12,1.1220905426157993e-05,0.0,-0.0015068186907768223,-1.1778321441892917e-09,1.5127214625018557e-14,-1.165904270924674e-10,0.0004438035396919552,0.0,-0.025038212339047714,-9.13298923754843e-08,1.3712669492765331e-12,0.12268150466044984,0.12268150424839541,0.12256849559036238,0.12256849600273323
0.07,1.9999999999999571,4.1431036050325535e-07,1.6500000000000001,-6.156008702538177e-05,-2.7936276418355857e-11,1.5884257666064727e-15,0.9999999995262945,-3.078004350783066e-05,-1.396813822700705e-11,3.642729811251248e-16,-3.575488047372232e-12,1.7259949970977155e-05,0.0,-0.001757014920793629,-2.3549351750765165e-09,3.349441356227804e-14,-2.7405487262332833e-10,0.0006039044544818562,0.0,-0.024997947004893672,-1.5772271640193727e-07,2.6267366442692473e-12,0.12268141404933844,0.12268141333776825,0.12256858641506371,0.12256858712723998
0.08,1.9999999999998892,6.657628470682261e-07,1.6500000000000001,-8.038021068841962e-05,-5.89835582865902e-11,4.24841745549303e-15,0.9999999991923777,-4.019010533339034e-05,-2.9491779204849055e-11,9.389310157928426e-16,-8.370386167895696e-12,2.5145248656495236e-05,0.0,-0.0020067776308746958,-4.332286472228037e-09,6.76619475104035e-14,-5.786287101414538e-10,0.0007885298685516213,0.0,-0.024951513683762645,-2.554320665294955e-07,4.677867053231991e-12,0.12268130964632981,0.12268130849399021,0.12256869114540803,0.12256869229882697
0.09,1.9999999999997415,1.0169787564675323e-06,1.6500000000000001,-0.00010169563964355696,-1.1458200544029652e-10,1.0206662226477788e-14,0.9999999987072496,-5.08478197998673e-05,-5.7291002905578555e-11,2.190208524173755e-15,-1.785895593963472e-11,3.512159093992508e-05,0.0,-0.002256045194468882,-7.463576505666428e-09,1.2705175462691786e-13,-1.1240494835518244e-09,0.0009976342283424726,0.0,-0.024898923797390796,-3.930799525088161e-07,7.856018654140792e-12,0.1226811915138883,0.12268118974064905,0.12256880975339335,0.12256881152844554
0.1,1.999999999999444,1.4913112599152099e-06,1.6500000000000001,-0.0001255011145787629,-2.0825508729668696e-10,2.2492129971324447e-14,0.9999999980311838,-6.275055724820001e-05,-1.0412754414903234e-10,4.712003574700964e-15,-3.536887016680257e-11,4.7433250344752766e-05,0.0,-0.0025047561068225117,-1.2193885522404359e-08,2.2478232059321933e-13,-2.0429824340720437e-09,0.0012311659404815028,0.0,-0.024840190282043786,-5.803155553565626e-07,1.2573252622930991e-11,0.12268105972244533,0.12268105710467232,0.12256894220751262,0.12256894482818718
0.11,1.9999999999988822,2.1145505018145035e-06,1.6500000000000001,-0.0001517907617813264,-3.5845971325819234e-10,4.616868021887147e-14,0.9999999971199456,-7.589538081780225e-05,-1.7922985786489922e-10,9.481621820166227e-15,-6.589354258557701e-11,6.232392418989226e-05,0.0,-0.0027528490001097576,-1.906988761279768e-08,3.785168070855377e-13,-3.5164898558111432e-09,0.0014890673845110657,0.0,-0.024775327585334937,-8.278009309530541e-07,1.933040069799137e-11,0.12268091435033454,0.12268091061632891,0.1225690884727684,0.12256909221123494
0.12,1.999999999997876,2.91491723642538e-06,1.6500000000000001,-0.00018055809458270708,-5.896528337373904e-10,8.930611257332502e-14,0.9999999959248468,-9.027904716871989e-05,-2.948264196984678e-10,1.8036408109620854e-14,-1.16650139509433e-10,8.003667346100288e-05,0.0,-0.0030002626585292104,-2.874990414146544e-08,6.113903345530468e-13,-5.784494457149478e-09,0.0017712749271049343,0.0,-0.024704351662640914,-1.1471951878050862e-06,2.8724811174926457e-11,0.12268075548372126,0.12268075030923047,0.12256924851068962,0.12256925369180934
0.13,1.9999999999961524,3.9230558648152164e-06,1.6500000000000001,-0.00021179601495417263,-9.334577840224513e-10,1.642615154954226e-13,0.9999999943928061,-0.0001058980072791561,-4.667288980916698e-10,3.270509768359097e-14,-1.9774920793412036e-10,0.00010081386283880136,0.0,-0.003246936033362576,-4.20137913688994e-08,9.530130305840668e-13,-9.157221202549508e-09,0.002077718937767562,0.0,-0.024627279973109716,-1.5511371567240996e-06,4.145774147804803e-11,0.12268058321652449,0.12268057622033188,0.12256942227934942,0.12256942928510912
