t,x,y,z,roll,pitch,yaw,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,ax,ay,az,wx_dot,wy_dot,wz_dot,tb,mx,my,mz
0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,,,,
0.01,-4.305984115661551e-11,0.0,1.4999999997669302,-0.0,-8.687733191887895e-07,0.0,0.9999999999999056,-0.0,-4.343866595943811e-07,0.0,-2.1440435216701516e-08,0.0,-1.1609525455427233e-07,0.0,-0.00025791415245512446,0.0,-8.522626145609427e-06,0.0,-4.617503076570164e-05,0.0,-0.049985485416996676,0.0,,,,
0.02,-1.3495079868842536e-09,0.0,1.4999999926813548,-0.0,-6.73530898151165e-06,0.0,0.9999999999943294,-0.0,-3.3676544907494597e-06,0.0,-3.3455905680924677e-07,0.0,-1.815810665722903e-06,0.0,-0.0009890647181518947,0.0,-6.607096294222994e-05,0.0,-0.0003590284284043041,0.0,-0.09272278438724076,0.0,,,,
0.03,-1.0035553836460447e-08,0.0,1.4999999454676936,-0.0,-2.2023800091118974e-05,0.0,0.999999999939369,-0.0,-1.1011900045336932e-05,0.0,-1.6515359043893501e-06,0.0,-8.985161847008329e-06,0.0,-0.0021324649736691194,0.0,-0.0002160275465269303,0.0,-0.0011774717245619823,0.0,-0.12870227719986108,0.0,,,,
0.04,-4.140957130469379e-08,0.0,1.4999997745312825,-0.0,-5.056802097034337e-05,0.0,0.9999999996803594,-0.0,-2.5284010482477754e-05,0.0,-5.088891221211949e-06,0.0,-2.7753966097743532e-05,0.0,-0.003631017586592777,0.0,-0.0004959351646177951,0.0,-0.002711625279472732,0.0,-0.15839951088414655,0.0,,,,
0.05,-1.2372919784054413e-07,0.0,1.4999993249329657,-0.0,-9.56500871498969e-05,0.0,0.9999999988563826,-0.0,-4.782504355671727e-05,0.0,-1.2110788907940118e-05,0.0,-6.621599495931463e-05,0.0,-0.0054314759813300015,0.0,-0.0009378352932997924,0.0,-0.005144422921342166,0.0,-0.18227236678950604,0.0,,,,
0.06,-3.0140821533954807e-07,0.0,1.499998352082749,-0.0,-0.00016003850423116882,0.0,0.9999999967984596,-0.0,-8.001925203018946e-05,0.0,-2.4475672059064505e-05,0.0,-0.00013416492784580207,0.0,-0.007484343724385815,0.0,-0.0015685961006646468,0.0,-0.008633167633960728,0.0,-0.20075912902943552,0.0,,,,
0.07,-6.377060145087781e-07,0.0,1.4999965059969393,-0.0,-0.00024602497043961605,0.0,0.9999999924339643,-0.0,-0.00012301248490956905,0.0,-4.4186126967362426e-05,0.0,-0.0002428456205947334,0.0,-0.009743728393037393,0.0,-0.0024102301606737267,0.0,-0.013311038965226132,0.0,-0.21427730056850763,0.0,,,,
0.08,-1.2169314152653662e-06,0.0,1.4999933179680267,-0.0,-0.0003554595488607115,0.0,0.9999999842060637,-0.0,-0.0001777297734946715,0.0,-7.344187341547166e-05,0.0,-0.0004047202095104395,0.0,-0.012167163735819005,0.0,-0.0034802020206129557,0.0,-0.019288552829254898,0.0,-0.2232230301458186,0.0,,,,
0.09,-2.146191601108828e-06,0.0,1.4999881895013178,-0.0,-0.0004897839511739852,0.0,0.9999999700139602,-0.0,-0.00024489197313921245,0.0,-0.00011459578050734466,0.0,-0.0006332485781993043,0.0,-0.014715411525249201,0.0,-0.0047917257655087685,0.0,-0.026654974374762806,0.0,-0.22797102977621944,0.0,,,,
0.1,-3.556715925103514e-06,0.0,1.4999803833770333,-0.0,-0.0006500627777941065,0.0,0.9999999471772986,-0.0,-0.00032503138317404126,0.0,-0.00017011280872603803,0.0,-0.0009426827212229963,0.0,-0.017352252367230977,0.0,-0.006354052722874108,0.0,-0.03547968459239409,0.0,-0.22887487855385116,0.0,,,,
0.11,-5.604783359140546e-06,0.0,1.4999690167012014,-0.0,-0.0008370126424446184,0.0,0.9999999124262308,-0.0,-0.00041850630900558384,0.0,-0.00024253178033798332,0.0,-0.0013478745453225677,0.0,-0.020044272871534808,0.0,-0.00817274945115348,0.0,-0.045813501333679216,0.0,-0.2262676234447014,0.0,,,,
0.12,-8.47228138651848e-06,0.0,1.4999530558132377,-0.0,-0.0010510291750492414,0.0,0.9999998619172124,-0.0,-0.0005255145633364473,0.0,-0.00033442988169757456,0.0,-0.0018640966556931079,0.0,-0.022760654993792276,0.0,-0.010249966155236101,0.0,-0.05768995541430117,0.0,-0.22046260142647742,0.0,,,,
0.13,-1.236692318058872e-05,0.0,1.4999313129225984,-0.0,-0.0012922119479995462,0.0,0.9999997912735424,-0.0,-0.0006461059290466354,0.0,-0.0004483898024395984,0.0,-0.0025068756815154357,0.0,-0.025472972012676072,0.0,-0.012584695672406086,0.0,-0.07112652247434985,0.0,-0.21175441958494245,0.0,,,,
0.14,-1.7522148969255537e-05,0.0,1.4999024443513156,-0.0,-0.001560387409702314,0.0,0.9999996956489069,-0.0,-0.0007801936257002198,0.0,-0.0005869694179807226,0.0,-0.0032918377016781064,0.0,-0.028154994482579083,0.0,-0.01517302317209879,0.0,-0.08612581126824477,0.0,-0.20042004057660032,0.0,,,,
0.15,-2.4196736556500907e-05,0.0,1.4998649502635755,-0.0,-0.001855129937929317,0.0,0.9999995698116451,-0.0,-0.0009275648359554386,0.0,-0.0007526739231849486,0.0,-0.0042345653383498195,0.0,-0.03078250857604522,0.0,-0.018008366712832187,0.0,-0.10267670905700547,0.0,-0.18671993025842099,0.0,,,,
0.16,-3.267414505782224e-05,0.0,1.4998171757678003,-0.0,-0.00217578114572757,0.0,0.9999994082471091,-0.0,-0.0010878903582763127,0.0,-0.0009479303264816254,0.0,-0.005350466092789104,0.0,-0.03333314847507964,0.0,-0.02108170879968241,0.0,-0.12075548477554987,0.0,-0.17089923235178525,0.0,,,,
0.17,-4.326161500652516e-05,0.0,1.4997573132809086,-0.0,-0.002521467586080412,0.0,0.9999992052752569,-0.0,-0.0012607334590614082,0.0,-0.00117506421515831,0.0,-0.006654651504504968,0.0,-0.03578624386092635,0.0,-0.024381819085672433,0.0,-0.14032685064770026,0.0,-0.15318894186271959,0.0,,,,
0.18,-5.628904710220497e-05,0.0,1.4996834060485857,-0.0,-0.002891117009475875,0.0,0.9999989551804866,-0.0,-0.0014455580012886578,0.0,-0.00143627870398445,0.0,-0.008161826721608952,0.0,-0.03812268306443474,0.0,-0.02789546836044282,0.0,-0.16134498292157656,0.0,-0.13380705475015967,0.0,,,,
